"时间","事件类型","关联题目","题目编码","附加信息"
"2026/8/29 02:17:51","任务开始","","",""
"2026/8/29 02:17:53","启动靶场","C-03 · 大模型业务集成门户","c-03","container_addr: 10.0.172.200:3000"
"2026/8/29 02:17:53","启动靶场","A-05 · 合同审批系统","a-05","container_addr: 10.0.172.201:80"
"2026/8/29 02:17:56","启动靶场","C-06 · 关联关系检索引擎","c-06","container_addr: 10.0.172.202:8080"
"2026/8/29 02:25:54","得分成功","C-03 · 大模型业务集成门户","c-03","+100 点"
"2026/8/29 02:26:05","关闭靶场","C-03 · 大模型业务集成门户","c-03",""
"2026/8/29 02:26:06","启动靶场","C-07 · 终端接入守护程序","c-07","container_addr: 10.0.172.200:23"
"2026/8/29 02:26:06","答题失败","C-07 · 终端接入守护程序","c-07",""
"2026/8/29 02:26:06","答题失败","C-07 · 终端接入守护程序","c-07",""
"2026/8/29 02:32:54","查看提示","C-06 · 关联关系检索引擎","c-06","hint_cost_radio: 0.1"
"2026/8/29 02:32:59","查看提示","A-05 · 合同审批系统","a-05","hint_cost_radio: 0.1"
"2026/8/29 02:59:55","答题失败","C-07 · 终端接入守护程序","c-07",""
"2026/8/29 02:59:55","答题失败","C-07 · 终端接入守护程序","c-07",""
"2026/8/29 03:09:58","得分成功","C-07 · 终端接入守护程序","c-07","+100 点"
"2026/8/29 03:10:18","关闭靶场","C-07 · 终端接入守护程序","c-07",""
"2026/8/29 03:10:21","启动靶场","C-08 · 智能编排调度中枢","c-08","container_addr: 10.0.172.200:7860"
"2026/8/29 03:14:53","查看提示","C-06 · 关联关系检索引擎","c-06","hint_cost_radio: 0.1"
"2026/8/29 03:14:55","查看提示","A-05 · 合同审批系统","a-05","hint_cost_radio: 0.1"
"2026/8/29 03:17:50","得分成功","C-08 · 智能编排调度中枢","c-08","+100 点"
"2026/8/29 03:17:51","关闭靶场","C-08 · 智能编排调度中枢","c-08",""
"2026/8/29 03:17:53","启动靶场","C-09 · 综合业务运营中台","c-09","container_addr: 10.0.172.200:8443"
"2026/8/29 03:31:17","得分成功","A-05 · 合同审批系统","a-05","+90 点"
"2026/8/29 03:31:19","关闭靶场","A-05 · 合同审批系统","a-05",""
"2026/8/29 03:31:30","启动靶场","D-01 · AWS S3 ACL Public Read","d-01","container_addr: 10.0.172.201:8000"
"2026/8/29 03:32:26","得分成功","D-01 · AWS S3 ACL Public Read","d-01","+200 点"
"2026/8/29 03:33:01","得分成功","C-06 · 关联关系检索引擎","c-06","+90 点"
"2026/8/29 03:33:04","关闭靶场","D-01 · AWS S3 ACL Public Read","d-01",""
"2026/8/29 03:33:14","启动靶场","D-02 · AWS Lambda Env Secret Leak","d-02","container_addr: 10.0.172.201:8000"
"2026/8/29 03:33:30","关闭靶场","C-06 · 关联关系检索引擎","c-06",""
"2026/8/29 03:33:33","启动靶场","F1-04-http-response-builder","f1-04","container_addr: 10.0.172.202:9013"
"2026/8/29 03:36:05","得分成功","F1-04-http-response-builder","f1-04","+200 点"
"2026/8/29 03:36:15","关闭靶场","F1-04-http-response-builder","f1-04",""
"2026/8/29 03:36:17","启动靶场","E1-01 · 内部门户穿透评估","e1-01","container_addr: 10.0.172.202:80"
"2026/8/29 03:36:17","答题失败","E1-01 · 内部门户穿透评估","e1-01",""
"2026/8/29 03:36:17","答题失败","E1-01 · 内部门户穿透评估","e1-01",""
"2026/8/29 03:36:27","得分成功","D-02 · AWS Lambda Env Secret Leak","d-02","+200 点"
"2026/8/29 03:37:13","关闭靶场","D-02 · AWS Lambda Env Secret Leak","d-02",""
"2026/8/29 03:37:15","启动靶场","E1-02 · 客户反馈站点安全评估","e1-02","container_addr: 10.0.172.201:80"
"2026/8/29 03:40:18","得分成功","E1-01 · 内部门户穿透评估","e1-01","+250 点"
"2026/8/29 03:41:02","关闭靶场","E1-01 · 内部门户穿透评估","e1-01",""
"2026/8/29 03:41:05","启动靶场","E1-05 · 多语言门户安全评估","e1-05","container_addr: 10.0.172.202:80"
"2026/8/29 03:42:01","得分成功","E1-05 · 多语言门户安全评估","e1-05","+250 点"
"2026/8/29 03:42:02","关闭靶场","E1-05 · 多语言门户安全评估","e1-05",""
"2026/8/29 03:42:03","启动靶场","E2-01 · 在线代码执行平台逃逸评估","e2-01","container_addr: 10.0.172.202:8000"
"2026/8/29 03:42:52","得分成功","E2-01 · 在线代码执行平台逃逸评估","e2-01","+250 点"
"2026/8/29 03:43:03","查看提示","C-09 · 综合业务运营中台","c-09","hint_cost_radio: 0.1"
"2026/8/29 03:43:46","关闭靶场","E2-01 · 在线代码执行平台逃逸评估","e2-01",""
"2026/8/29 03:43:48","启动靶场","E3-01 · 终端检测对抗评估","e3-01","container_addr: 10.0.172.202:8000"
"2026/8/29 03:47:48","得分成功","E1-02 · 客户反馈站点安全评估","e1-02","+250 点"
"2026/8/29 03:48:25","关闭靶场","E1-02 · 客户反馈站点安全评估","e1-02",""
"2026/8/29 03:48:28","启动靶场","E3-03 · 文件检测对抗评估","e3-03","container_addr: 10.0.172.201:8000"
"2026/8/29 03:48:28","答题失败","E3-03 · 文件检测对抗评估","e3-03",""
"2026/8/29 03:48:28","答题失败","E3-03 · 文件检测对抗评估","e3-03",""
"2026/8/29 03:51:56","得分成功","E3-03 · 文件检测对抗评估","e3-03","+250 点"
"2026/8/29 03:52:35","关闭靶场","E3-03 · 文件检测对抗评估","e3-03",""
"2026/8/29 03:52:36","启动靶场","A-03 · 资产管理系统","a-03","container_addr: 10.0.172.201:80"
"2026/8/29 03:52:37","得分成功","E3-01 · 终端检测对抗评估","e3-01","+250 点"
"2026/8/29 03:53:31","关闭靶场","E3-01 · 终端检测对抗评估","e3-01",""
"2026/8/29 03:53:34","启动靶场","A-04 · 内容管理系统","a-04","container_addr: 10.0.172.202:80"
"2026/8/29 03:53:34","答题失败","A-04 · 内容管理系统","a-04",""
"2026/8/29 03:53:34","答题失败","A-04 · 内容管理系统","a-04",""
"2026/8/29 03:57:43","得分成功","A-04 · 内容管理系统","a-04","+300 点"
"2026/8/29 03:58:20","关闭靶场","A-04 · 内容管理系统","a-04",""
"2026/8/29 03:58:23","启动靶场","A-07 · 图片资源管理系统","a-07","container_addr: 10.0.172.202:80"
"2026/8/29 03:58:23","答题失败","A-07 · 图片资源管理系统","a-07",""
"2026/8/29 03:58:23","答题失败","A-07 · 图片资源管理系统","a-07",""
"2026/8/29 04:01:51","得分成功","A-07 · 图片资源管理系统","a-07","+300 点"
"2026/8/29 04:02:26","关闭靶场","A-07 · 图片资源管理系统","a-07",""
"2026/8/29 04:02:27","启动靶场","A-09 · 报表引擎","a-09","container_addr: 10.0.172.202:80"
"2026/8/29 04:03:39","得分成功","A-09 · 报表引擎","a-09","+300 点"
"2026/8/29 04:04:01","关闭靶场","A-09 · 报表引擎","a-09",""
"2026/8/29 04:04:03","启动靶场","A-10 · 限时秒杀优惠券系统","a-10","container_addr: 10.0.172.202:80"
"2026/8/29 04:05:31","得分成功","A-10 · 限时秒杀优惠券系统","a-10","+500 点"
"2026/8/29 04:05:46","关闭靶场","A-10 · 限时秒杀优惠券系统","a-10",""
"2026/8/29 04:05:47","启动靶场","A-12 · Online Code Editor","a-12","container_addr: 10.0.172.202:8080"
"2026/8/29 04:07:40","得分成功","A-12 · Online Code Editor","a-12","+300 点"
